"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",0,2.50570623880367,0.998,0.292,0,"T_CD8_c07-TYROBP","GNLY"
"FGFBP2",0,2.09557124903593,0.927,0.23,0,"T_CD8_c07-TYROBP","FGFBP2"
"GZMB",0,2.07706278913185,0.968,0.243,0,"T_CD8_c07-TYROBP","GZMB"
"GZMH",0,2.04791217705323,0.965,0.258,0,"T_CD8_c07-TYROBP","GZMH"
"NKG7",0,2.02226076519361,1,0.41,0,"T_CD8_c07-TYROBP","NKG7"
"CST7",0,1.96596105065463,0.993,0.377,0,"T_CD8_c07-TYROBP","CST7"
"CCL5",0,1.94907909968342,0.998,0.421,0,"T_CD8_c07-TYROBP","CCL5"
"PRF1",0,1.82622862535013,0.921,0.292,0,"T_CD8_c07-TYROBP","PRF1"
"CTSW",0,1.81116004998823,0.961,0.393,0,"T_CD8_c07-TYROBP","CTSW"
"FCGR3A",0,1.63738309297964,0.797,0.182,0,"T_CD8_c07-TYROBP","FCGR3A"
"KLRD1",0,1.61504566845712,0.844,0.243,0,"T_CD8_c07-TYROBP","KLRD1"
"HOPX",0,1.57127123405008,0.762,0.229,0,"T_CD8_c07-TYROBP","HOPX"
"GZMA",0,1.53468078119457,0.891,0.318,0,"T_CD8_c07-TYROBP","GZMA"
"KLRF1",0,1.49958717616352,0.609,0.106,0,"T_CD8_c07-TYROBP","KLRF1"
"ADGRG1",0,1.48313932255207,0.645,0.139,0,"T_CD8_c07-TYROBP","ADGRG1"
"TRBC1",0,1.46383739494376,0.77,0.338,0,"T_CD8_c07-TYROBP","TRBC1"
"CD247",0,1.38537965467317,0.869,0.451,0,"T_CD8_c07-TYROBP","CD247"
"CLIC3",0,1.3355146745173,0.564,0.144,0,"T_CD8_c07-TYROBP","CLIC3"
"SPON2",0,1.32513501873263,0.63,0.176,0,"T_CD8_c07-TYROBP","SPON2"
"S1PR5",0,1.28217683341922,0.633,0.168,0,"T_CD8_c07-TYROBP","S1PR5"
"TRDC",0,1.25879528814929,0.454,0.075,0,"T_CD8_c07-TYROBP","TRDC"
"TTC38",0,1.24644797586276,0.54,0.126,0,"T_CD8_c07-TYROBP","TTC38"
"IFITM2",0,1.21175235741002,0.901,0.647,0,"T_CD8_c07-TYROBP","IFITM2"
"FCRL6",0,1.18073733374273,0.518,0.123,0,"T_CD8_c07-TYROBP","FCRL6"
"C12orf75",0,1.1528831292494,0.651,0.257,0,"T_CD8_c07-TYROBP","C12orf75"
"KLRC2",0,1.14943044585941,0.321,0.03,0,"T_CD8_c07-TYROBP","KLRC2"
"EFHD2",0,1.1033405032131,0.621,0.285,0,"T_CD8_c07-TYROBP","EFHD2"
"LITAF",0,1.09457419192761,0.926,0.65,0,"T_CD8_c07-TYROBP","LITAF"
"KIR2DL3",0,1.08650459958212,0.352,0.056,0,"T_CD8_c07-TYROBP","KIR2DL3"
"GZMM",0,1.08522191535029,0.822,0.423,0,"T_CD8_c07-TYROBP","GZMM"
"PRSS23",0,1.07927345981872,0.456,0.113,0,"T_CD8_c07-TYROBP","PRSS23"
"CCL4",0,1.05723956867655,0.674,0.22,0,"T_CD8_c07-TYROBP","CCL4"
"LAIR2",0,1.05536569226374,0.39,0.111,0,"T_CD8_c07-TYROBP","LAIR2"
"KIR3DL2",0,1.05216923166426,0.325,0.043,0,"T_CD8_c07-TYROBP","KIR3DL2"
"HCST",0,1.0466485492547,0.919,0.687,0,"T_CD8_c07-TYROBP","HCST"
"TRDJ1",0,1.016648196309,0.307,0.033,0,"T_CD8_c07-TYROBP","TRDJ1"
"C1orf21",0,1.01510937257023,0.446,0.121,0,"T_CD8_c07-TYROBP","C1orf21"
"KIR3DL1",0,0.996562912293573,0.222,0.034,0,"T_CD8_c07-TYROBP","KIR3DL1"
"SYNGR1",0,0.937962783382516,0.325,0.079,0,"T_CD8_c07-TYROBP","SYNGR1"
"CD99",0,0.937539389898139,0.921,0.699,0,"T_CD8_c07-TYROBP","CD99"
"MATK",0,0.928432698088916,0.491,0.166,0,"T_CD8_c07-TYROBP","MATK"
"IFITM1",0,0.917464071221195,0.986,0.765,0,"T_CD8_c07-TYROBP","IFITM1"
"TYROBP",0,0.695751498967312,0.861,0.341,0,"T_CD8_c07-TYROBP","TYROBP"
"B2M",0,0.67643106958749,1,1,0,"T_CD8_c07-TYROBP","B2M"
"HLA-C",0,0.652544817899847,0.999,0.987,0,"T_CD8_c07-TYROBP","HLA-C"
"HLA-A",0,0.607856890615337,0.998,0.982,0,"T_CD8_c07-TYROBP","HLA-A"
"RPS8",0,-0.770733231698953,0.996,0.993,0,"T_CD8_c07-TYROBP","RPS8"
"RPS13",0,-0.810114390436339,0.995,0.99,0,"T_CD8_c07-TYROBP","RPS13"
"PABPC1",0,-0.909300818494417,0.901,0.965,0,"T_CD8_c07-TYROBP","PABPC1"
"COTL1",0,-2.0707229031549,0.061,0.496,0,"T_CD8_c07-TYROBP","COTL1"
"LTB",0,-2.65620564258606,0.115,0.597,0,"T_CD8_c07-TYROBP","LTB"
"APMAP",1.63376150358747e-305,1.01505729675268,0.625,0.287,3.69377138346091e-301,"T_CD8_c07-TYROBP","APMAP"
"RPL8",1.70253786723179e-304,-0.64395741704368,0.992,0.989,3.84926786402436e-300,"T_CD8_c07-TYROBP","RPL8"
"KLRC3",6.22488511868456e-304,0.508382224216201,0.142,0.016,1.40738427648339e-299,"T_CD8_c07-TYROBP","KLRC3"
"PFN1",3.16150238415983e-299,0.802804044961706,0.984,0.961,7.14784074034695e-295,"T_CD8_c07-TYROBP","PFN1"
"RPL32",6.02785877850425e-295,-0.674584137470579,0.997,0.992,1.36283859123203e-290,"T_CD8_c07-TYROBP","RPL32"
"ITGB2",2.60351349591671e-290,0.834757054910535,0.935,0.71,5.88628366291808e-286,"T_CD8_c07-TYROBP","ITGB2"
"RPL11",4.58993333243575e-290,-0.594781425987569,0.999,0.994,1.0377380271304e-285,"T_CD8_c07-TYROBP","RPL11"
"F2R",1.65380408628008e-286,0.824114029336348,0.336,0.091,3.73908565867064e-282,"T_CD8_c07-TYROBP","F2R"
"RPL18A",8.77119521998533e-284,-0.632081848396631,0.994,0.99,1.98307952728648e-279,"T_CD8_c07-TYROBP","RPL18A"
"SH2D2A",9.31186243872718e-284,1.03572559850294,0.552,0.229,2.10531897877183e-279,"T_CD8_c07-TYROBP","SH2D2A"
"RPL13",2.0786151519502e-282,-0.62383823569089,0.999,0.994,4.6995409970442e-278,"T_CD8_c07-TYROBP","RPL13"
"CMC1",1.16674074093002e-279,1.17598213357426,0.496,0.195,2.63788414116868e-275,"T_CD8_c07-TYROBP","CMC1"
"CX3CR1",2.07128021712481e-276,1.03454395968121,0.432,0.146,4.68295744289748e-272,"T_CD8_c07-TYROBP","CX3CR1"
"IL7R",6.69421133292824e-276,-2.27904642933448,0.07,0.467,1.51349424026175e-271,"T_CD8_c07-TYROBP","IL7R"
"CFL1",7.45242384586164e-272,0.659938388166167,0.978,0.936,1.68491850731086e-267,"T_CD8_c07-TYROBP","CFL1"
"TBX21",6.01920034277047e-267,0.875632590517293,0.321,0.088,1.36088100549698e-262,"T_CD8_c07-TYROBP","TBX21"
