"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL7R",0,1.50735357980602,0.899,0.379,0,"T CD4 helper","IL7R"
"LTB",0,1.47843733914474,0.979,0.494,0,"T CD4 helper","LTB"
"AQP3",4.45399673538963e-283,1.27810866160473,0.454,0.09,7.71209534732714e-279,"T CD4 helper","AQP3"
"MAL",1.13781360417386e-212,1.07098569981513,0.536,0.157,1.97012425562704e-208,"T CD4 helper","MAL"
"RPS18",6.04190904481636e-206,0.578536367609333,0.999,0.979,1.04615655110995e-201,"T CD4 helper","RPS18"
"LDHB",7.49506058159034e-205,0.979090999783996,0.888,0.52,1.29776973970237e-200,"T CD4 helper","LDHB"
"RPS12",3.03469938342527e-192,0.55140322753995,1,0.984,5.25458198240085e-188,"T CD4 helper","RPS12"
"RPS15A",2.6022889427214e-188,0.487626766632751,0.999,0.976,4.5058633043221e-184,"T CD4 helper","RPS15A"
"RPL36",3.1074088541175e-181,0.559194043687847,0.999,0.956,5.38047843090445e-177,"T CD4 helper","RPL36"
"IL32",3.34714714098526e-181,0.874800156452623,0.9,0.466,5.79558527461598e-177,"T CD4 helper","IL32"
"RPL13",1.57990188131943e-180,0.494578074808483,1,0.987,2.7356001075046e-176,"T CD4 helper","RPL13"
"RPL10",1.15758022888281e-176,0.490564098421086,1,0.986,2.00435016631059e-172,"T CD4 helper","RPL10"
"RPL28",1.91912286800323e-174,0.432320036063771,1,0.981,3.3229612459476e-170,"T CD4 helper","RPL28"
"TYROBP",6.08487943985456e-172,-3.49039665032639,0.046,0.443,1.05359687501082e-167,"T CD4 helper","TYROBP"
"RPS25",2.67727832881732e-170,0.537938868519092,0.999,0.951,4.63570742634718e-166,"T CD4 helper","RPS25"
"RPL11",3.48753822651166e-169,0.491530976714811,1,0.971,6.03867243920493e-165,"T CD4 helper","RPL11"
"CRIP2",4.69780667177403e-162,0.83080952914353,0.266,0.049,8.13425225217674e-158,"T CD4 helper","CRIP2"
"RPL32",1.79063930863564e-160,0.470813080461379,1,0.98,3.10049196290261e-156,"T CD4 helper","RPL32"
"EEF1A1",6.36649589212979e-160,0.472787738193705,1,0.99,1.10235876372227e-155,"T CD4 helper","EEF1A1"
"RPS4X",2.77854432989235e-158,0.519584326776529,0.999,0.963,4.8110495072086e-154,"T CD4 helper","RPS4X"
"TNFRSF4",3.29000138676991e-156,0.603259108718517,0.171,0.018,5.6966374011921e-152,"T CD4 helper","TNFRSF4"
"NKG7",3.98755291280618e-153,-4.16239065041447,0.083,0.444,6.90444786852389e-149,"T CD4 helper","NKG7"
"INPP4B",1.04213907075794e-151,0.862163011654945,0.39,0.111,1.80446380101738e-147,"T CD4 helper","INPP4B"
"FLT3LG",5.10604344361218e-149,0.901733420047558,0.618,0.264,8.8411142226145e-145,"T CD4 helper","FLT3LG"
