entrez cluster avg_diff
9774 MGE-RG1 0.252226405
10399 MGE-RG1 0.25768183
3008 MGE-RG1 0.266800994
6144 MGE-RG1 0.270498538
6171 MGE-RG1 0.283598349
728632 MGE-RG1 -0.285197943
8452 MGE-RG1 0.286716634
4736 MGE-RG1 0.287125536
5050 MGE-RG1 -0.289076935
11261 MGE-RG1 0.289460771
195827 MGE-RG1 1.460465875
10157 MGE-RG1 1.470769106
18 MGE-RG1 0.871320599
19 MGE-RG1 0.563779602
11057 MGE-RG1 -1.306711625
25890 MGE-RG1 2.586330224
58527 MGE-RG1 -2.244461261
NA MGE-RG1 1.040491601
NA MGE-RG1 0.443868117
NA MGE-RG1 1.191122113
10449 MGE-RG1 0.672564654
11332 MGE-RG1 -2.542422333
51205 MGE-RG1 0.966592767
60 MGE-RG1 -0.354099031
10121 MGE-RG1 -1.252078182
92949 MGE-RG1 2.316874518
119 MGE-RG1 -2.21084127
137872 MGE-RG1 2.372822006
22850 MGE-RG1 0.807836767
2334 MGE-RG1 2.054045667
54806 MGE-RG1 1.482989902
79026 MGE-RG1 1.195518891
83543 MGE-RG1 1.745067648
84962 MGE-RG1 2.54890694
205 MGE-RG1 1.185781069
205 MGE-RG1 0.415199482
11216 MGE-RG1 0.717331438
4329 MGE-RG1 0.910671026
9949 MGE-RG1 2.035559362
284 MGE-RG1 2.884817961
288 MGE-RG1 -1.103982739
124930 MGE-RG1 -1.470026556
91526 MGE-RG1 -3.792746691
302 MGE-RG1 1.334126938
304 MGE-RG1 1.182034777
308 MGE-RG1 0.647299286
NA MGE-RG1 1.192718644
323 MGE-RG1 1.208212615
324 MGE-RG1 -1.170683896
333 MGE-RG1 -3.266296472
128240 MGE-RG1 1.369488648
139322 MGE-RG1 0.500021164
10513 MGE-RG1 1.091698529
55701 MGE-RG1 0.949622576
57492 MGE-RG1 -3.52431849
10777 MGE-RG1 -3.321724211
57561 MGE-RG1 -1.150000051
80816 MGE-RG1 -1.352603224
85300 MGE-RG1 -4.109516917
57205 MGE-RG1 1.350908988
477 MGE-RG1 2.082820013
482 MGE-RG1 1.458311732
493 MGE-RG1 0.943856926
26053 MGE-RG1 -1.062452802
558 MGE-RG1 0.876426144
9334 MGE-RG1 -1.35984512
9532 MGE-RG1 2.798566453
92482 MGE-RG1 1.123909391
56987 MGE-RG1 0.689190763
63827 MGE-RG1 1.355323468
590 MGE-RG1 1.877108021
53335 MGE-RG1 -1.89109191
64919 MGE-RG1 -1.866777726
605 MGE-RG1 -1.609894666
80114 MGE-RG1 0.56358129
6046 MGE-RG1 0.807495798
339479 MGE-RG1 2.591706409
148362 MGE-RG1 0.601974193
11118 MGE-RG1 2.269356354
28969 MGE-RG1 -3.047104219
79096 MGE-RG1 0.4354621
257407 MGE-RG1 2.157173248
285382 MGE-RG1 -0.999611926
56951 MGE-RG1 0.785032471
84909 MGE-RG1 1.94325256
781 MGE-RG1 -1.841352726
253559 MGE-RG1 -1.976716924
8618 MGE-RG1 -2.351782044
55450 MGE-RG1 -1.718333694
824 MGE-RG1 1.031473105
399726 MGE-RG1 0.383538121
401237 MGE-RG1 -2.108272233
64921 MGE-RG1 1.281279635
8573 MGE-RG1 -1.012335967
9139 MGE-RG1 -1.564170809
348254 MGE-RG1 1.952628682
129881 MGE-RG1 1.537016632
374969 MGE-RG1 -0.852505966
152137 MGE-RG1 -0.984454093
894 MGE-RG1 0.4136593
901 MGE-RG1 -0.830063268
126731 MGE-RG1 -0.479432143
10694 MGE-RG1 -1.06613552
4345 MGE-RG1 -4.512593834
100133941 MGE-RG1 -1.815995596
938 MGE-RG1 -1.441335171
975 MGE-RG1 0.633217693
4267 MGE-RG1 0.612097091
8555 MGE-RG1 0.616393546
8476 MGE-RG1 -1.550577819
23580 MGE-RG1 0.561908986
1000 MGE-RG1 0.590850239
8851 MGE-RG1 -1.527958754
1021 MGE-RG1 1.546888955
1036 MGE-RG1 1.693000421
1649 MGE-RG1 1.234502549
10659 MGE-RG1 -0.323474549
56853 MGE-RG1 -3.14259377
9859 MGE-RG1 -1.318244766
645455 MGE-RG1 -1.385337266
1069 MGE-RG1 0.824727212
1072 MGE-RG1 -1.070878447
1073 MGE-RG1 1.160396066
